locality_name,uuid,city_name
DLF Phase 2,708ba9e1db2721be4c5f,Gurgaon
Chanakyapuri,197a90bc1e4f05d89819,Ahmedabad
Pataudi,a038b54c3569eb98460e,Gurgaon
Ottiyabakkam,06382408afa4b72e2255,Chennai
Greater Kailash I,03445b8de2b4d30a02f1,Delhi
Shahibuag,59009d07c1fe9f827211,Ahmedabad
Kumaraswamy Layout,70b33cf4933a5671a2d5,Bengaluru
Shankarpally,abe42f17dc1bc0e5a015,Hyderabad
Chimbali,9edfbb4caaae98f0b355,Pune
Daighar Gaon,35d42f16f4aee46a5209,Mumbai
Moraiya,b453f4917f60504001a9,Ahmedabad
Richmond Town,cf2a9f203b592631e633,Bengaluru
Sector 87,cce9f83b0d9438e021b6,Gurgaon
Gandhre,0460a3e142eca41450db,Mumbai
Turbhe,73ff1db7f68d3248cbbb,Mumbai
Taramatipet,19d4d774f1f69696e486,Hyderabad
Mukkidipeta,5ef7ba8975629f003d38,Bengaluru
Bukkasagara,0819acc1f341df78c321,Bengaluru
Vengadamangalam,51f861023ea1be4d12fa,Chennai
Nampally,2542f1031d7f743835a1,Hyderabad
JP Nagar 9th Phase,a3e6619b9edf94033aa9,Bengaluru
Gollahalli,9807e5c1cd1f395fbf2d,Bengaluru
Khajiguda,01e6153e82ecdcd89aeb,Hyderabad
Police Lines,db1c0c94bd20aaa737ef,Gurgaon
Ashokgarh,f2b891262ed47fdb4b42,Kolkata
Kamdahari,720ee453ee630cea7d0d,Bengaluru
Omega IV,c5873f0c1a44aaf25fe0,Noida
Kothur,7bc42f368cb86bb802d3,Hyderabad
Kamarajapuram,80e297e5476d4aa790ad,Chennai
Panayur,0124d004a47d8b55d0bf,Chennai
Rudraram,b3a5cae26aa57df37046,Hyderabad
Banashankari,d91c2b2b67ed3f637893,Bengaluru
Greater Kailash,fa902cd75e833303c837,Delhi
Lower Parel,c8bcf477f851c6f564fa,Mumbai
Mandur,2af90f98651029c636ca,Bengaluru
Vikram Nagar,259b01800e1ea8921abb,Delhi
Thirumangalam,40e737eb4d3bd79e06b4,Chennai
Janachaitanya Colony,dcff91413f6864127dc9,Hyderabad
Bikasipura,7e6331270e0a587c82d5,Bengaluru
Bangaon,4ed5eea020dca76f97f9,Kolkata
Juinagar,1225293c9c1405403e41,Mumbai
Amrutahalli,e22b4f1d974c61ec1198,Bengaluru
Madhura Nagar,1f8de3be3a0027a488da,Bengaluru
Nurpur Jharsa,1edc917ae9cda3f1c1a2,Gurgaon
Kotarpur,5df60deed1f5387b4d82,Ahmedabad
Kavadiguda,9cfc0c60ca844de44c56,Hyderabad
Baljit Nagar,76bf71d4d8db2a249c28,Delhi
Shanthi Nagar,958e86042f8fbb9fc919,Hyderabad
Dhopagachhi,a079df2bc9fbdbaf738e,Kolkata
Gollarapalya Hosahalli,1fbff7f3036095ba02dc,Bengaluru
South Dum Dum,5c628d35c8116b057bd8,Kolkata
Sector 93A,e649a02f64f01b117776,Noida
Padapai,01dd034b08c8b5989bfc,Chennai
Maheshwaram,a91fecffd788b957e0d0,Hyderabad
Mahipalpur,c4e296ce9bcf3eff4095,Delhi
